"Eye Tracker","Condition","Mean","Median","SD","Min","Max"
"EyeLink 1000 Plus","bright",0.16,0,0.41,0,1.67
"EyeLink 1000 Plus","dark",0.07,0,0.25,0,0.95
"Pupil Core","bright",2.86,0.42,5.08,0,20.35
"Pupil Core","dark",5.76,0.97,8.14,0,26.74
"Pupil Neon","bright",0.48,0,1.07,0,3.72
"Pupil Neon","dark",0.37,0,0.81,0,2.52
"SMI ETG","bright",1.67,1.32,1,0.67,4.87
"SMI ETG","dark",2.63,2.39,1.1,1.31,5.66
"Tobii Glasses 2","bright",11.73,12.24,5.13,3.53,16.84
"Tobii Glasses 2","dark",11.53,10.8,5.4,6.1,18.57
