eye_tracker,participant_id,condition,total_rows,nan_rows
Pupil Core,354,dark,3621,754
Pupil Core,354,bright,3631,536
SMI ETG,354,dark,460,9
SMI ETG,354,bright,460,6
Pupil Neon,354,dark,2947,48
Pupil Neon,354,bright,2967,40
Pupil Core,796,dark,3681,15
Pupil Core,796,bright,3680,65
SMI ETG,796,dark,461,11
SMI ETG,796,bright,457,6
Pupil Neon,796,dark,2961,0
Pupil Neon,796,bright,2970,0
Pupil Core,352,dark,3687,986
Pupil Core,352,bright,3697,0
SMI ETG,352,dark,462,13
SMI ETG,352,bright,458,9
Pupil Neon,352,dark,2949,0
Pupil Neon,352,bright,2956,0
Tobii Glasses 2,352,dark,1360,111
Tobii Glasses 2,352,bright,1423,142
Pupil Core,503,dark,3688,1
Pupil Core,503,bright,3641,0
SMI ETG,503,dark,458,8
SMI ETG,503,bright,458,7
Pupil Neon,503,dark,2967,0
Pupil Neon,503,bright,2972,0
Pupil Core,397,dark,3663,55
Pupil Core,397,bright,3663,55
SMI ETG,397,dark,466,15
SMI ETG,397,bright,456,6
Pupil Neon,397,dark,2962,0
Pupil Neon,397,bright,2972,0
Pupil Core,210,dark,3654,654
Pupil Core,210,bright,3646,742
SMI ETG,210,dark,462,11
SMI ETG,210,bright,455,4
Pupil Neon,210,dark,2955,0
Pupil Neon,210,bright,2968,0
Pupil Core,875,dark,3629,30
Pupil Core,875,bright,3560,10
SMI ETG,875,dark,453,6
SMI ETG,875,bright,457,6
Pupil Neon,875,dark,2988,0
Pupil Neon,875,bright,2967,0
Tobii Glasses 2,875,dark,1437,193
Tobii Glasses 2,875,bright,1413,205
Pupil Core,844,dark,3655,0
Pupil Core,844,bright,3638,0
SMI ETG,844,dark,461,14
SMI ETG,844,bright,459,10
Pupil Neon,844,dark,2959,0
Pupil Neon,844,bright,2948,98
Pupil Core,406,dark,3663,0
Pupil Core,406,bright,3648,84
SMI ETG,406,dark,459,26
SMI ETG,406,bright,452,22
Pupil Neon,406,dark,2968,0
Pupil Neon,406,bright,2976,0
Pupil Core,259,dark,3663,0
Pupil Core,259,bright,3663,0
SMI ETG,259,dark,464,12
SMI ETG,259,bright,455,6
Pupil Neon,259,dark,2914,0
Pupil Neon,259,bright,2966,0
Pupil Core,695,dark,3697,0
Pupil Core,695,bright,3729,0
SMI ETG,695,dark,467,15
SMI ETG,695,bright,450,3
Pupil Neon,695,dark,2981,0
Pupil Neon,695,bright,2968,0
Tobii Glasses 2,695,dark,1459,89
Tobii Glasses 2,695,bright,1458,134
Pupil Core,347,dark,3673,273
Pupil Core,347,bright,3657,265
SMI ETG,347,dark,461,10
SMI ETG,347,bright,461,9
Pupil Neon,347,dark,2965,57
Pupil Neon,347,bright,2957,0
Pupil Core,914,dark,3707,0
Pupil Core,914,bright,3723,0
SMI ETG,914,dark,457,7
SMI ETG,914,bright,455,5
Pupil Neon,914,dark,2982,0
Pupil Neon,914,bright,2966,0
Tobii Glasses 2,914,dark,1382,229
Tobii Glasses 2,914,bright,1366,230
Pupil Core,332,dark,3663,614
Pupil Core,332,bright,3688,0
SMI ETG,332,dark,460,13
SMI ETG,332,bright,456,4
Pupil Neon,332,dark,2953,0
Pupil Neon,332,bright,2975,0
Pupil Core,199,dark,3616,336
Pupil Core,199,bright,3603,249
SMI ETG,199,dark,458,8
SMI ETG,199,bright,458,8
Pupil Neon,199,dark,2959,0
Pupil Neon,199,bright,2953,0
Pupil Core,137,dark,3630,130
Pupil Core,137,bright,3623,137
SMI ETG,137,dark,457,6
SMI ETG,137,bright,457,6
Pupil Neon,137,dark,2962,0
Pupil Neon,137,bright,2969,59
Pupil Core,276,dark,3671,279
Pupil Core,276,bright,3678,9
SMI ETG,276,dark,455,24
SMI ETG,276,bright,451,19
Pupil Neon,276,dark,2969,0
Pupil Neon,276,bright,2929,0
Tobii Glasses 2,276,dark,1481,275
Tobii Glasses 2,276,bright,1501,245
Pupil Core,231,dark,3688,30
Pupil Core,231,bright,3687,5
SMI ETG,231,dark,459,9
SMI ETG,231,bright,456,6
Pupil Neon,231,dark,2942,0
Pupil Neon,231,bright,2967,0
Pupil Core,460,dark,3660,18
Pupil Core,460,bright,3638,18
SMI ETG,460,dark,468,18
SMI ETG,460,bright,456,5
Pupil Neon,460,dark,2974,0
Pupil Neon,460,bright,2979,0
Pupil Core,299,dark,3630,0
Pupil Core,299,bright,3639,89
SMI ETG,299,dark,457,8
SMI ETG,299,bright,457,7
Pupil Neon,299,dark,2952,70
Pupil Neon,299,bright,2963,0
Pupil Core,772,dark,3656,41
Pupil Core,772,bright,3637,0
SMI ETG,772,dark,460,11
SMI ETG,772,bright,455,4
Pupil Neon,772,dark,2987,0
Pupil Neon,772,bright,2985,0
Pupil Core,141,dark,3646,666
Pupil Core,141,bright,3615,182
SMI ETG,141,dark,464,13
SMI ETG,141,bright,462,12
Pupil Neon,141,dark,2975,75
Pupil Neon,141,bright,2933,34
Tobii Glasses 2,141,dark,1411,90
Tobii Glasses 2,141,bright,1475,52
Pupil Core,319,dark,3687,159
Pupil Core,319,bright,3664,13
SMI ETG,319,dark,460,9
SMI ETG,319,bright,455,5
Pupil Neon,319,dark,2979,13
Pupil Neon,319,bright,2976,0
Pupil Core,375,dark,3696,13
Pupil Core,375,bright,3671,38
SMI ETG,375,dark,466,15
SMI ETG,375,bright,459,8
Pupil Neon,375,dark,2967,0
Pupil Neon,375,bright,2980,111
